MTML_position_x,MTML_position_y,MTML_position_z,MTML_orientation_x,MTML_orientation_y,MTML_orientation_z,MTML_orientation_w,MTML_gripper_angle,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_orientation_x,MTMR_orientation_y,MTMR_orientation_z,MTMR_orientation_w,MTMR_gripper_angle,PSML_position_x,PSML_position_y,PSML_position_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle
0.082812,0.036817,0.478676,0.265654218713736,-0.0708892224300764,-0.918239907651594,0.285022852099346,0.434269,-0.108225,-0.026847,0.402714,0.0161832227910992,0.280548620822802,-0.376347647595442,0.882832386585298,0.051963,0.087412,0.048929,-0.02302,0.245181559543113,-0.0727138003524572,-0.926564469564226,0.275820575446203,0.441682,0.025592,0.030429,-0.007347,0.271497937900656,-0.0189441969117604,0.900793607569932,0.338379762515739,-0.075075
0.083444,0.036917,0.476916,0.260806229150575,-0.0810251728134706,-0.916389142921907,0.292653328943408,0.461845,-0.10815,-0.026273,0.401259,0.0159364052647136,0.283792559737568,-0.375372431529783,0.882215025757471,0.089142,0.087732,0.048962,-0.0239,0.240405270574501,-0.082757640378282,-0.92464623624957,0.283523926024813,0.468135,0.025627,0.030732,-0.008088,0.274618670654245,-0.0190682241734848,0.900193609163279,0.337449928991776,-0.038988
0.083584,0.037114,0.476015,0.255453249588821,-0.0900256264449661,-0.912292075532086,0.307184297741701,0.496361,-0.107993,-0.026024,0.400675,0.01567628361538,0.284056750366765,-0.377261984531304,0.881328208858984,0.132117,0.0878,0.049054,-0.024353,0.235365509614947,-0.0912928160764553,-0.921456464873177,0.29527391005633,0.492465,0.025702,0.030847,-0.008367,0.274994349204948,-0.018720836902338,0.89938401711206,0.339317002129862,-0.013024
0.083501,0.037693,0.473815,0.242876250322368,-0.105202452474131,-0.91055721258525,0.317536035170428,0.523792,-0.107408,-0.025482,0.399737,0.00310635217256583,0.284542381922662,-0.416447761903366,0.863479730550541,0.286556,0.08777,0.049351,-0.025421,0.222784262314179,-0.107610335196842,-0.918499308698763,0.308457789890035,0.521694,0.025994,0.031123,-0.008839,0.276280994099411,-0.00673554804887699,0.884182741705602,0.37662225632839,0.127895
0.083297,0.038128,0.47109,0.237646101239129,-0.108589460050389,-0.913785127438774,0.311013505500179,0.523923,-0.106754,-0.025113,0.398936,-0.0180400571443294,0.284117231593914,-0.480271851297646,0.829632993498192,0.380287,0.08767,0.049585,-0.026804,0.217560150451755,-0.110822595555207,-0.921611333684461,0.301692696090186,0.522837,0.026315,0.031313,-0.009235,0.277468605555645,0.0146893193857388,0.853530187719275,0.440773882482717,0.2889
0.083247,0.038102,0.467954,0.230820388864982,-0.110440664973332,-0.914754073573489,0.312649632152629,0.52386,-0.105968,-0.024946,0.398532,-0.034982920940785,0.282265933128852,-0.534881039060688,0.795615744119426,0.50905,0.087637,0.049573,-0.028335,0.210532210515014,-0.112746769928825,-0.922490367891119,0.303275246854052,0.523164,0.026709,0.031396,-0.00945,0.276993244031334,0.0332548145844461,0.819921397344196,0.499897751790396,0.44125
0.083235,0.03804,0.466459,0.226112163999594,-0.112378138012262,-0.916130784995407,0.311366067791623,0.523892,-0.105463,-0.024881,0.39845,-0.035621441374609,0.285010342424045,-0.544033783374344,0.788370128919863,0.526105,0.087631,0.049534,-0.029121,0.205745504945737,-0.114625941594132,-0.923816299667777,0.301816376587519,0.523164,0.026972,0.03143,-0.009491,0.279569151049377,0.0342044880630512,0.813093526426805,0.509460557904827,0.504933
0.083008,0.037871,0.463648,0.213664821711619,-0.118909373022969,-0.918566754687897,0.310552768708271,0.523029,-0.104638,-0.024899,0.398265,-0.0310828082750923,0.295907392929816,-0.556815892005287,0.775518366158771,0.50123,0.087518,0.049435,-0.030531,0.193408911211349,-0.121157326357485,-0.925970058908395,0.300821118505882,0.523164,0.027382,0.031432,-0.009575,0.29086894804164,0.0289412680988681,0.800853874645524,0.522676505623919,0.517996
0.082448,0.03756,0.461278,0.212776860480573,-0.115747092178931,-0.920453460510866,0.306747527014847,0.522903,-0.104475,-0.025137,0.397526,-0.0428822180912405,0.302986332504335,-0.594948535761495,0.743233904960209,0.48119,0.087244,0.049289,-0.031698,0.192514238065145,-0.118017924952958,-0.927743075144214,0.297157910973191,0.523001,0.027467,0.031319,-0.009928,0.298972587118981,0.0407166723968742,0.770758437562445,0.561149690961874,0.499708
0.082177,0.037427,0.460107,0.216478188741053,-0.113318847473271,-0.920718277330265,0.304259570756143,0.519048,-0.104643,-0.025198,0.397008,-0.049098228147466,0.30384869670737,-0.608781134814653,0.731198238096752,0.472296,0.087106,0.049214,-0.032281,0.196357485897209,-0.115656488201254,-0.928013793845139,0.294716326154885,0.523164,0.027385,0.031277,-0.010184,0.300163944523538,0.0461250592981089,0.760474297738107,0.573979901906459,0.486645
